time,open,high,low,close,Plot,Plot,Volume,Volume MA,"UKX, TVC: Open","UKX, TVC: High","UKX, TVC: Low","UKX, TVC: Close",Accumulation/Distribution,Aroon Up,Aroon Down
1501545600,4261.48,4745.42,3400,4724.89,NaN,NaN,10015.640271999999,NaN,35751.2512,36623.45224496,35349.70528992,36035.53523696,9709.979445218536,NaN,NaN
1504224000,4689.89,4939.19,2817,4378.51,NaN,NaN,27634.18912,NaN,35275.38280073,35417.326596000006,34164.324708730004,35000.70259854,22742.33069414989,NaN,NaN
1506816000,4378.49,6498.01,4110,6463,NaN,NaN,41626.388462999996,NaN,36262.9190763,37208.99304315,36262.77250499999,36854.71447185,63148.17162167923,NaN,NaN
1509494400,6463,11300.03,5325.01,9838.96,NaN,NaN,108487.97811899999,NaN,36545.25026372,36983.07650772,35733.63443628,35733.63443628,118579.07873829681,NaN,NaN
1512086400,9837,19798.68,9380,13716.36,NaN,NaN,408432.865114,NaN,36407.688067079995,38251.01380092,36219.157115999995,38202.066684,50133.993067709074,NaN,NaN
1514764800,13715.65,17176.24,9035,10285.1,NaN,NaN,816675.564467,NaN,38147.48351700001,38667.462472210005,37323.774917,37382.227462580006,-515737.9780547397,NaN,NaN
1517443200,10285.1,11786.01,6000.01,10326.76,NaN,NaN,1243939.210802,NaN,39251.30116796,39361.654246,36851.89986396,37679.69852404,100749.35118389403,NaN,NaN
1519862400,10325.64,11710,6600.1,6923.91,NaN,NaN,1235148.956367,NaN,36540.67266754,36656.68215427,34696.58723273,35654.93284173,-977858.9356744275,NaN,NaN
1522540800,6922,9759.82,6430,9246.01,9224.455467869857,9224.455467869857,1110963.1677549998,NaN,36405.050474100004,38930.6404718,35967.25825,38740.477668199994,-209751.52902615175,NaN,NaN
1525132800,9246.01,10020,7032.95,7485.01,8516.543683147289,8516.543683147289,914473.5375460001,NaN,37958.75955902,39951.40215,37873.28271649,38812.53419098,-847432.3062346649,NaN,NaN
1527811200,7485.01,7786.69,5750,6390.07,7821.627066697208,7821.627066697208,942242.5449529999,NaN,37485.74119642,38048.403221420005,36656.36809558,37284.25692942,-1197438.2459624547,NaN,NaN
1530403200,6391.08,8491.77,6070,7730.93,7481.180215591026,7481.180215591026,1102510.4367860002,NaN,37039.87516302,37747.84280499,36573.197571000004,37582.259905980005,-787672.4056693175,NaN,NaN
1533081600,7735.67,7750,5880,7011.21,7258.640696174122,7258.640696174122,1408159.816556,NaN,37327.32570856,37526.806442279994,35785.38864228,35803.45314228,-492169.6916517209,NaN,NaN
1535760000,7011.21,7410,6111,6626.57,7077.215438132416,7077.215438132416,1100573.782678,NaN,35363.4538842,35932.51116,34355.139,35733.5325516,-719113.2585709894,NaN,NaN
1538352000,6626.57,7680,6205,6371.93,6837.739138164122,6837.739138164122,629916.320853,NaN,35930.29979684,36006.84699684,32779.37592116,34102.25649842,-1206450.6893358654,28.571428571428573,7.142857142857143
1541030400,6369.52,6615.15,3652.66,4041.32,6094.639289406073,6094.639289406073,1210365.449617,NaN,33420.81012886,33740.99462286,32371.079006,32727.554201720002,-2099231.5154448412,21.428571428571427,0
1543622400,4041.27,4312.99,3156.26,3702.9,5170.672119123123,5170.672119123123,1591229.1471709998,NaN,32681.484616400005,33455.1851164,30604.032523600003,31501.1041918,-2186515.055586447,14.285714285714286,100
1546300800,3701.23,4069.8,3349.92,3434.1,4331.069564472196,4331.069564472196,908244.1405399999,NaN,31505.14106974,32787.28377574,30902.725047999997,32632.337478259997,-2882346.039070668,7.142857142857143,92.85714285714286
1548979200,3434.1,4198,3373.1,3813.69,3880.958462889156,3880.958462889156,861783.986727,NaN,33548.74126641,34958.212501589995,33548.74126641,34058.457693,-2823549.575532062,0,85.71428571428571
1551398400,3814.26,4140,3670.69,4103.95,3810.519103904778,3810.519103904778,787190.4892500001,822980.6806578,34452.520154,35893.39609102,34452.520154,35448.19897502,-2157295.001295434,0,78.57142857142857
1554076800,4102.44,5600,4067,5320.81,4179.2805195379415,4179.2805195379415,1126961.3151010002,878827.96439925,34870.95921595,36067.340123099995,34870.95921595,35536.9838681,-1440818.134417588,0,71.42857142857143
1556668800,5321.94,9074.26,5316.2,8555,5368.350347130832,5368.350347130832,1498409.8902299998,952366.7494547501,35502.86005518,35638.012914,34127.535493589996,34275.227889,-356485.8904203947,0,64.28571428571429
1559347200,8555,13970,7444.58,10854.1,7227.764624468278,7227.764624468278,1689489.647326,1034759.9123979,33242.509307,34669.738758830004,32861.889907000004,34467.54630683,-280465.0442146545,100,57.142857142857146
1561939200,10854.1,13147.08,9060,10080.53,8800.229973091375,8800.229973091375,1886176.0659149997,1123644.3167877,34624.96966071,36032.514053579995,34624.96966071,35376.39552942,-1224697.5902826064,92.85714285714286,50
1564617600,10080.53,12330.7,9320,9587.47,9611.118979769804,9611.118979769804,1201960.9433980002,1163320.7207018998,33858.28089144,33961.818744,31329.838708559997,32164.203796559996,-2213094.5827518115,85.71428571428571,42.857142857142854
1567296000,9588.74,10905.87,7710,8289.34,9500.070729686613,9500.070729686613,1116856.475836,1178329.76627035,32178.61815696,33221.549896000004,32143.880673520005,33076.176008,-2925028.6864570123,78.57142857142857,35.714285714285715
1569888000,8289.97,10370,7300,9140.85,9217.160141068518,9217.160141068518,1446755.8547160001,1188470.5984660499,33439.919119,33552.90293878,31617.297479779994,32718.462030609997,-2636761.404264902,71.42857142857143,28.571428571428573
1572566400,9140.86,9513.68,6515,7541.89,8699.274367246748,8699.274367246748,1499118.774995,1201669.0893974497,34410.23389927,35348.3958,34167.88518373,34876.18091954,-3109141.695090457,64.28571428571429,21.428571428571427
1575158400,7540.63,7750,6435,7195.23,8143.112388469794,8143.112388469794,1307026.4679400001,1211472.2544066997,34890.87397914,36405.28374507,33868.01913786,35821.30981707,-2904927.506419011,57.142857142857146,14.285714285714286
1577836800,7195.24,9578,6871.04,9352.89,8143.176226309782,8143.176226309782,1691323.137782,1250314.7344184997,36700.75830941,37417.16476641,35399.56750382,35452.995085819995,-1494904.241221835,50,7.142857142857143
1580515200,9351.71,10500,8445,8523.61,8310.397501189194,8310.397501189194,1609726.154564,1283688.9148990498,35331.318722159995,36600.06389508,31326.22042092,31910.69352708,-2981476.5534400665,42.857142857142854,0
1583020800,8523.61,9188,3782.13,6410.44,8034.944833314241,8034.944833314241,3789768.911749,1418051.8386471998,30978.22110425,32275.891025,23061.053924999997,26700.751699999997,-3086107.817247472,35.714285714285715,0
1585699200,6412.14,9460,6150.11,8620,7949.909918165211,7949.909918165211,2528356.3574159998,1474061.6656902,25897.034968000004,28086.88442058,24632.80969284,26943.744618,-1841068.6336526207,28.571428571428573,0
1588291200,8620,10067,8117,9448.27,8226.060213584078,8226.060213584078,2685340.0785080004,1553299.9804816998,27284.834555999998,28823.707344,26174.847366359998,28095.768222359995,-859831.5979910346,21.428571428571427,0
1590969600,9448.27,10380,8833,9138.55,8658.134053256234,8658.134053256234,1504745.3750509997,1597041.4331915998,27559.20443353,29533.14704494,26996.100678470004,27981.622729060004,-1770168.5058838807,14.285714285714286,78.57142857142857
1593561600,9138.08,11444,8893.03,11335.46,9475.277591759637,9475.277591759637,1507827.2149399999,1611914.52145775,28092.061078640003,28792.38694936,26853.679921360002,26853.679921360002,-390652.9260549082,7.142857142857143,71.42857142857143
1596240000,11335.46,12468,10518.5,11649.51,10336.908826996814,10336.908826996814,1891193.007128,1626912.7144556001,28336.96651106,30256.157800940004,28141.41666247,28653.163818060002,-87479.99012895621,0,64.28571428571429
1598918400,11649.51,12050.85,9825,10776.59,10838.977193049048,10838.977193049048,1730389.1601789996,1668019.96543755,29284.70585988,30070.99162294,28341.47977612,28806.071151059998,-338325.5863348811,0,57.142857142857146
1601510400,10776.59,14100,10374,13791,11645.59937229985,11645.59937229985,1592619.9544920006,1704561.7638258003,27833.471754479997,28660.823004959995,26217.487296,26463.030696,990140.0117759986,100,50
1604188800,13791,19863.16,13195.05,19695.87,13785.993789503962,13785.993789503962,2707064.911165,1800555.4849215504,26518.245669,30756.870530999997,26411.074730999997,29793.85311753,3561374.863452239,100,42.857142857142854
1606780800,19695.87,29300,17572.33,28923.63,18305.587014555047,18305.587014555047,2494426.747399,1868928.7565364507,30658.58732373,32666.601309269994,30645.916209269995,31609.386204,5895696.936194029,100,35.714285714285715
1609459200,28923.63,41950,28130,33092.98,23963.78598444177,23963.78598444177,3438840.1516750003,1965950.2696087006,32440.855128000003,34665.78675186,32123.10194028,32174.419643999998,4926740.271633356,100,28.571428571428573
1612137600,33092.97,58352.8,32296.16,45135.66,31327.066141100855,31327.066141100855,2518231.0204300005,2007387.3382639005,32235.290514,34209.71702491,32235.290514,32617.48899318,4890243.441552609,100,21.428571428571427
1614556800,45134.11,61844,44950.53,58740.55,40761.90235911209,40761.90235911209,2098808.027432,2018018.9363397504,33160.800443939996,34845.32484306,33160.800443939996,34338.20284953,6217919.691708083,100,14.285714285714286
1617235200,58739.46,64854,46930,57694.27,48981.657911229544,48981.657911229544,1987195.4668559998,2057280.6625126507,33980.36637586,35633.57095172,33980.36637586,35276.99684014,6617547.316574247,100,7.142857142857143
1619827200,57697.25,59500,30000,37253.81,49869.197722055455,49869.197722055455,3536245.256573,2178250.1015495006,35603.18395282,36596.06529764,34856.31403082,35873.407222,4820369.9382779775,92.85714285714286,0
1622505600,37253.82,41330,28805,35045,45675.36285146847,45675.36285146847,2901775.3059229995,2251001.0741098505,36643.97898,37661.12372,36257.95134,36721.57064,4809944.398256698,85.71428571428571,0
1625097600,35045,42448,29278,41461.83,41767.74887479751,41767.74887479751,1778463.2648370003,2264968.2986019505,35740.495142,36416.60916,34600.654158,35714.289566,6322064.896520532,78.57142857142857,0
1627776000,41461.84,50500,37332.7,47100.89,41473.38550853261,41473.38550853261,1635402.8742450003,2281387.1189172002,35904.81411,36885.925422,35704.466442,36351.103347,7113116.345055642,71.42857142857143,0
1630454400,47100.89,52920,39600,43824.1,42738.55950942505,42738.55950942505,1527799.510768,2273210.9375665,35965.16455,36348.67443,34493.05642,35797.101145,6554322.526995616,64.28571428571429,0
1633046400,43820.01,67000,43283.03,61299.8,47671.25521580335,47671.25521580335,1565546.6652030002,2271001.96309845,35067.858012,36031.597862,34370.501299999996,35815.789416,7367333.847170129,100,7.142857142857143
1635724800,61299.81,69000,53500,54206.19,51613.68629666454,51613.68629666454,1184116.894638,2140719.3622429003,36394.844502,37225.116648,35412.004632,35421.659544,6291116.739757078,100,0